record_id,x,y,y_true,plotted
R00000,0.0,0.0,0,0
R00006,0.0,0.0,0,0
R00007,0.0,0.0,0,0
R00021,0.0,0.0,0,0
R00029,0.0,0.0,0,0
R00053,0.0,0.0,0,0
R00063,0.0,0.0,0,0
R00075,0.0,0.0,0,0
R00079,0.0,0.0,0,0
R00083,0.0,0.0,0,0
R00091,0.0,0.0,0,0
R00096,0.0,0.0,0,0
R00097,-0.9042990803718567,-2.053463935852051,1,1
R00116,0.0,0.0,0,0
R00117,0.0,0.0,0,0
R00128,0.0,0.0,0,0
R00137,0.0,0.0,0,0
R00140,0.0,0.0,0,0
R00142,0.0,0.0,0,0
R00159,0.0,0.0,0,0
R00160,0.0,0.0,0,0
R00161,0.0,0.0,0,0
R00173,0.0,0.0,0,0
R00175,0.0,0.0,0,0
R00182,0.0,0.0,0,0
R00194,-2.5665016174316406,0.22655487060546875,1,1
R00195,0.0,0.0,0,0
R00199,0.0,0.0,0,0
R00203,1.7598134279251099,-3.535372257232666,1,1
R00204,0.0,0.0,0,0
R00205,0.0,0.0,0,0
R00214,0.0,0.0,0,0
R00224,0.0,0.0,0,0
R00234,1.982650876045227,-5.168123722076416,1,1
R00237,0.0,0.0,0,0
R00242,0.0,0.0,0,0
R00243,0.0,0.0,0,0
R00253,4.229821681976318,1.008683204650879,1,1
R00259,0.0,0.0,0,0
R00260,0.0,0.0,0,0
R00263,0.0,0.0,0,0
R00276,0.0,0.0,0,0
R00288,0.0,0.0,0,0
R00294,0.0,0.0,0,0
R00317,0.0,0.0,0,0
R00318,5.014901638031006,0.3263028860092163,1,1
R00320,0.0,0.0,0,0
R00328,0.0,0.0,0,0
R00354,0.0,0.0,0,0
R00356,3.1460635662078857,0.2859247922897339,1,1
R00361,0.0,0.0,0,0
R00362,0.0,0.0,0,0
R00364,0.0,0.0,0,0
R00365,0.0,0.0,0,0
R00377,0.0,0.0,0,0
R00391,0.0,0.0,0,0
R00394,0.0,0.0,0,0
R00395,0.0,0.0,0,0
R00402,0.0,0.0,0,0
R00403,3.546348810195923,1.4075109958648682,1,1
R00418,0.0,0.0,0,0
R00449,1.4219123125076294,1.650650978088379,0,1
R00451,0.0,0.0,0,0
R00452,0.0,0.0,0,0
R00456,0.0,0.0,0,0
R00463,-1.6239207983016968,1.4637802839279175,0,1
R00472,0.0,0.0,0,0
R00480,-0.7781575322151184,-2.6079704761505127,1,1
R00512,0.0,0.0,0,0
R00513,0.0,0.0,0,0
R00520,0.0,0.0,0,0
R00522,0.0,0.0,0,0
R00523,0.0,0.0,0,0
R00525,0.0,0.0,0,0
R00531,0.0,0.0,0,0
R00532,0.0,0.0,0,0
R00534,0.0,0.0,0,0
R00564,0.0,0.0,0,0
R00571,0.0,0.0,0,0
R00572,0.0,0.0,0,0
R00582,0.0,0.0,0,0
R00590,0.0,0.0,0,0
R00592,0.0,0.0,0,0
R00595,-0.6008740067481995,0.6365752220153809,0,1
R00608,0.0,0.0,0,0
R00613,0.0,0.0,0,0
R00615,0.0,0.0,0,0
R00622,0.0,0.0,0,0
R00625,0.0,0.0,0,0
R00634,0.0,0.0,0,0
R00635,0.0,0.0,0,0
R00638,0.0,0.0,0,0
R00653,0.0,0.0,0,0
R00654,0.0,0.0,0,0
R00658,0.0,0.0,0,0
R00667,0.0,0.0,0,0
R00682,0.0,0.0,0,0
R00687,0.0,0.0,0,0
R00688,0.0,0.0,0,0
R00694,0.0,0.0,0,0
R00695,0.0,0.0,0,0
R00720,0.0,0.0,0,0
R00729,0.0,0.0,0,0
R00730,0.0,0.0,0,0
R00737,0.0,0.0,0,0
R00738,0.0,0.0,0,0
R00742,0.0,0.0,0,0
R00745,0.0,0.0,0,0
R00750,0.0,0.0,0,0
R00757,0.0,0.0,0,0
R00772,0.0,0.0,0,0
R00779,0.0,0.0,0,0
R00780,0.0,0.0,0,0
R00789,0.0,0.0,0,0
R00799,-0.42519235610961914,3.4061553478240967,1,1
R00818,0.0,0.0,0,0
R00834,4.676198482513428,-3.3235390186309814,1,1
R00856,-0.7815287709236145,-1.3190959692001343,1,1
R00865,0.0,0.0,0,0
R00880,0.0,0.0,0,0
R00902,0.0,0.0,0,0
R00908,0.0,0.0,0,0
R00917,0.0,0.0,0,0
R00926,0.0,0.0,0,0
R00928,0.0,0.0,0,0
R00932,0.0,0.0,0,0
R00941,0.0,0.0,0,0
R00947,0.0,0.0,0,0
R00948,0.0,0.0,0,0
R00949,0.0,0.0,0,0
R00956,0.0,0.0,0,0
R00958,0.0,0.0,0,0
R00968,0.0,0.0,0,0
R00977,0.0,0.0,0,0
R00981,0.12132880091667175,0.9705532193183899,0,1
R00984,0.0,0.0,0,0
R00988,0.0,0.0,0,0
R00998,0.0,0.0,0,0
R01011,0.0,0.0,0,0
R01019,0.0,0.0,0,0
R01032,0.0,0.0,0,0
R01043,0.0,0.0,0,0
R01046,0.0,0.0,0,0
R01051,0.0,0.0,0,0
R01057,0.0,0.0,0,0
R01059,0.0,0.0,0,0
R01061,0.0,0.0,0,0
R01086,0.0,0.0,0,0
R01091,0.0,0.0,0,0
R01093,0.0,0.0,0,0
R01100,0.0,0.0,0,0
R01104,0.0,0.0,0,0
R01111,0.0,0.0,0,0
R01113,0.0,0.0,0,0
R01114,0.0,0.0,0,0
R01119,0.0,0.0,0,0
R01136,0.0,0.0,0,0
R01152,0.0,0.0,0,0
R01153,0.0,0.0,0,0
R01160,0.0,0.0,0,0
R01166,0.0,0.0,0,0
R01169,0.0,0.0,0,0
R01170,0.0,0.0,0,0
R01175,-2.194702625274658,-4.206617832183838,0,1
R01184,0.0,0.0,0,0
R01188,0.0,0.0,0,0
R01197,1.0763744115829468,-2.335155487060547,1,1
R01203,0.0,0.0,0,0
R01223,0.0,0.0,0,0
R01228,0.0,0.0,0,0
R01231,0.0,0.0,0,0
R01240,0.0,0.0,0,0
R01247,0.0,0.0,0,0
R01255,-0.9720160961151123,-0.1375860869884491,1,1
R01264,0.0,0.0,0,0
R01269,-1.309259057044983,3.0484437942504883,1,1
R01277,0.0,0.0,0,0
R01281,1.8157763481140137,0.15806400775909424,0,1
R01288,0.0,0.0,0,0
R01290,0.0,0.0,0,0
R01301,1.8226805925369263,-4.0551886558532715,1,1
R01305,0.0,0.0,0,0
R01309,0.0,0.0,0,0
R01312,0.0,0.0,0,0
R01316,0.0,0.0,0,0
R01323,0.0,0.0,0,0
R01325,0.0,0.0,0,0
R01337,0.0,0.0,0,0
R01345,2.526546001434326,0.4767651855945587,0,1
R01347,0.0,0.0,0,0
R01351,0.0,0.0,0,0
R01355,0.0,0.0,0,0
R01356,0.0,0.0,0,0
R01361,0.0,0.0,0,0
R01367,0.0,0.0,0,0
R01372,0.0,0.0,0,0
R01378,0.0,0.0,0,0
R01379,0.0,0.0,0,0
R01383,0.0,0.0,0,0
R01388,0.0,0.0,0,0
R01393,3.1688246726989746,-4.687789440155029,1,1
R01395,0.0,0.0,0,0
R01399,0.0,0.0,0,0
R01405,0.0,0.0,0,0
R01413,0.0,0.0,0,0
R01415,0.0,0.0,0,0
R01418,0.0,0.0,0,0
R01421,0.0,0.0,0,0
R01424,0.0,0.0,0,0
R01435,0.0,0.0,0,0
R01443,0.0,0.0,0,0
R01457,0.0,0.0,0,0
R01477,0.0,0.0,0,0
R01478,0.0,0.0,0,0
R01479,-2.6854705810546875,-0.06164832413196564,1,1
R01483,0.0,0.0,0,0
R01496,0.0,0.0,0,0
R01507,0.0,0.0,0,0
R01508,0.0,0.0,0,0
R01509,0.0,0.0,0,0
R01513,0.0,0.0,0,0
R01520,0.6833879947662354,-0.9861382842063904,0,1
R01522,0.0,0.0,0,0
R01524,0.0,0.0,0,0
R01526,0.0,0.0,0,0
R01527,0.0,0.0,0,0
R01536,0.0,0.0,0,0
R01544,0.0,0.0,0,0
R01556,0.0,0.0,0,0
R01559,0.0,0.0,0,0
R01564,0.0,0.0,0,0
R01566,0.0,0.0,0,0
R01577,0.0,0.0,0,0
R01581,0.0,0.0,0,0
R01584,0.0,0.0,0,0
R01585,0.0,0.0,0,0
R01589,0.0,0.0,0,0
R01590,0.0,0.0,0,0
R01593,0.0,0.0,0,0
R01605,0.0,0.0,0,0
R01612,0.0,0.0,0,0
R01621,0.0,0.0,0,0
R01625,0.0,0.0,0,0
R01637,0.0,0.0,0,0
R01643,0.0,0.0,0,0
R01645,0.0,0.0,0,0
R01648,0.0,0.0,0,0
R01649,0.0,0.0,0,0
R01652,0.0,0.0,0,0
R01656,0.0,0.0,0,0
R01660,0.0,0.0,0,0
R01661,0.0,0.0,0,0
R01663,0.0,0.0,0,0
R01671,2.0530107021331787,2.4938418865203857,1,1
R01679,0.0,0.0,0,0
R01683,0.0,0.0,0,0
R01688,0.0,0.0,0,0
R01689,0.0,0.0,0,0
R01691,0.0,0.0,0,0
R01696,0.0,0.0,0,0
R01711,0.0,0.0,0,0
R01714,0.0,0.0,0,0
R01715,0.0,0.0,0,0
R01716,0.0,0.0,0,0
R01725,0.0,0.0,0,0
R01737,0.0,0.0,0,0
R01744,0.0,0.0,0,0
R01745,0.0,0.0,0,0
R01762,0.0,0.0,0,0
R01772,0.0,0.0,0,0
R01775,0.0,0.0,0,0
R01786,0.0,0.0,0,0
R01799,0.0,0.0,0,0
R01802,0.0,0.0,0,0
R01808,0.0,0.0,0,0
R01810,0.0,0.0,0,0
R01811,0.0,0.0,0,0
R01818,0.0,0.0,0,0
R01820,0.0,0.0,0,0
R01821,0.0,0.0,0,0
